# 075-live-wire-enum-validation -- QuickFIX enum-domain golden (FR-018/FR-019/FR-024)
# Generated by tools/quickfix_enum_golden/main.cpp against a REAL, locally built
# QuickFIX v1.16.0. Every quickfix_verdict/quickfix_reason value below is the
# literal measured output of FIX::DataDictionary::validate() -- never hand-authored.
#
# MANIFEST (FR-024, six fields):
# quickfix_version=1.16.0
# quickfix_soname=libquickfix.so.17.0.0
# dictionary_sha1[FIX44]=ba541299b186a4fd51c3e98b12514424dfdf6746
# dictionary_sha1[FIX41]=afb1323653e633eadd7dbcbeaaa545dd58b35bad
# dictionary_sha1[FIX42]=cd4224dba396a5541c888dae662d0d3511ca671e
# generator_source_hash=847f2bf4d37b4634c6efb782474c9238585e418b
# corpus_input_hash=86a8c3c511ea9de74ed6dcc2677cfb9450f5188b
# golden_output_hash=215519d63005a509e9f2e0bcb07cca69265a4654
# topology[FIX44]=single-DD;non-FIXT;sessionDD==appDD (dd.validate(message))
# topology[FIX41]=single-DD;non-FIXT;sessionDD==appDD (dd.validate(message))
# topology[FIX42]=single-DD;non-FIXT;sessionDD==appDD (dd.validate(message))
# config.m_checkFieldsHaveValues=false
# config.m_checkFieldsOutOfOrder=false
# config.m_checkUserDefinedFields=false
# config.AllowUnknownMsgFields=false
#
# Hash algorithm: SHA-1 (OpenSSL EVP_sha1), 40 lowercase hex chars.
# dictionary_sha1: over the raw bytes of dictionaries/<D>.xml (same algorithm as
#   CMake's file(SHA1) -- see tests/dictionary/CMakeLists.txt's FIXPP_ORCHESTRA_SHA1_PIN).
# generator_source_hash: over the raw bytes of this file, main.cpp.
# corpus_input_hash: over the concatenation, for row ids 1..13 ascending, of the
#   exact bytes "{id}|{dictionary}|{msg_type}|{tag}|{value}\n" (decimal id/tag, LF
#   line ending after EVERY row including the 13th, value = the raw wire value
#   byte-for-byte including embedded spaces, empty string for an empty-value row).
# golden_output_hash: over the concatenation, for row ids 1..13 ascending, of the
#   exact bytes "{id}|{verdict}|{reason}|{ref_tag_id}|{asserted}\n" (verdict in
#   {accept,reject}, reason = decimal SessionRejectReason or empty string for
#   accept, ref_tag_id = decimal RefTagID (the offending tag QuickFIX's own
#   validation exception reported, its `.field` member) or empty string for
#   accept (075 T005a), asserted in {true,false}). Computed over the OUTPUT
#   ROWS ONLY -- excludes this manifest block (FR-024), so it is not
#   self-referential. This is the ONLY manifest field that covers RefTagID --
#   a hand-edited quickfix_ref_tag_id is invisible to every other field.
#
# CORPUS NOTE: 13 rows, not FR-018's original 12. Row 13 is a supplementary
# DV-5 characterization row (asserted:false), split out of the original row 6
# after measurement showed PossDupFlag(43)=X does not reach QuickFIX's enum arm
# (see row 13's own note). Row 6 was rewritten to MessageEncoding(347)=ZZZZ, a
# STRING-typed header field, to give FR-015 a genuine engine-parity witness.
#
# REGISTERED DIVERGENCES surfaced by measurement (not silently reconciled --
# 075 T006 owns folding these into contracts/enum-domain.md's C-6 register):
#   Row 8  (asserted:false) Side(54)="" (empty x Char) -- DV-1, CORRECTED: the
#     original DV-1 text predicted QuickFIX reject/5 "via isFieldValue's
#     set.find(\"\") miss"; MEASURED is reject/6 (IncorrectDataFormat via
#     CharConvertor, DataDictionary.cpp:171) -- the enum arm is never reached.
#     Both reason AND mechanism in the original DV-1 text were wrong.
#   Row 13 (asserted:false) PossDupFlag(43)=X (header, BOOLEAN) -- DV-5, NEW:
#     QuickFIX rejects/6 via BoolConvertor (DataDictionary.cpp:171) before its
#     enum arm (:172); fixpp's Boolean type-arm imposes no constraint so fixpp's
#     OWN enum_valid fires and rejects/5. Both REJECT; only the reason differs.
#
# No asserted:true row disagrees with its predicted verdict as of this run.
#
row,dictionary,begin_string,msg_type,tag,value,asserted,quickfix_verdict,quickfix_reason,quickfix_ref_tag_id,note
1,FIX44,FIX.4.4,D,54,"1",true,accept,,,"Side(54)=1, in-domain -> accept (positive control)"
2,FIX44,FIX.4.4,D,54,"Z",true,reject,5,54,"Side(54)=Z, out-of-domain -> reject/5"
3,FIX44,FIX.4.4,D,18,"1 G 6",true,accept,,,"ExecInst(18)=""1 G 6"", all tokens declared -> accept (positive control)"
4,FIX44,FIX.4.4,D,18,"1 ZZ 6",true,reject,5,18,"ExecInst(18)=""1 ZZ 6"", ZZ undeclared -> reject/5"
5,FIX44,FIX.4.4,D,18,"1  G",true,reject,5,18,"ExecInst(18)=""1  G"" (double space -> empty token) -> reject/5"
6,FIX44,FIX.4.4,0,347,"ZZZZ",true,reject,5,347,"MessageEncoding(347)=ZZZZ, header field, STRING type -> both engines' format check is a no-op, so both reach the enum arm -> reject/5."
7,FIX44,FIX.4.4,AE,574,"A",true,reject,5,574,"MatchType(574)=A on TradeCaptureReport, no bare 'A' declared -> reject/5"
8,FIX44,FIX.4.4,D,54,"",false,reject,6,54,"Side(54)="""" (empty x Char) -- DV-1 characterization only; QuickFIX rejects/6 via CharConvertor (DataDictionary.cpp:171), never reaching the enum arm -- corrects DV-1's original reject/5 claim."
9,FIX44,FIX.4.4,D,18,"",false,reject,5,18,"ExecInst(18)="""" (empty x String) -- DV-2 characterization only"
10,FIX44,FIX.4.4,D,452,"9999",false,accept,,,"PartyRole(452)=9999 inside NoPartyIDs(453) group member -- DV-3 characterization only"
11,FIX44,FIX.4.4,D,803,"999",false,accept,,,"PartySubIDType(803)=999 inside NoPartyIDs->NoPartySubIDs nested group member (depth 2) -- DV-3 characterization only"
12,FIX41,FIX.4.1,T,166,"US",true,reject,5,166,"SettlLocation(166)=US on FIX41 SettlementInstructions -- reject/5, DV-4"
13,FIX44,FIX.4.4,0,43,"X",false,reject,6,43,"PossDupFlag(43)=X (header, BOOLEAN) -- DV-5 characterization only: QuickFIX rejects/6 via checkValidFormat's BoolConvertor (DataDictionary.cpp:171) BEFORE the enum arm at :172; fixpp's Boolean type-arm imposes no constraint (validator.hpp:419-425) so it reaches enum_valid and rejects/5. Both engines REJECT; only the reason differs."
