# 079-required-presence-scope -- QuickFIX required-set parity golden (Contract 2, T018/T019, fixpp#201)
# Generated by tools/quickfix_required_golden/main.cpp against a REAL, locally built
# QuickFIX v1.16.0. Every required_tags value below is the literal measured output of
# FIX::DataDictionary::isRequiredField(msgType, tag) -- never hand-authored.
#
# SCOPE: body-only (message-level component-AND set). isRequiredField() has NO
# header/trailer-required surface (verified against DataDictionary.cpp -- see this
# generator's main.cpp header comment); the StandardHeader/Trailer carve-out is
# pinned separately by Contract 1's census (tests/dictionary/required_scope_census_test.cpp),
# NOT by this golden. NO vlatest/Orchestra row (QuickFIX 1.16.0 cannot parse Orchestra).
#
# MANIFEST:
# quickfix_version=1.16.0
# quickfix_soname=libquickfix.so.17.0.0
# dictionary_sha1[FIX40]=78eca13d28ad68239f0d76643625c5089c31167c
# dictionary_sha1[FIX41]=afb1323653e633eadd7dbcbeaaa545dd58b35bad
# dictionary_sha1[FIX42]=cd4224dba396a5541c888dae662d0d3511ca671e
# dictionary_sha1[FIX43]=b59fa1149fba02715af13c7922a4c61b2be7f67b
# dictionary_sha1[FIX44]=ba541299b186a4fd51c3e98b12514424dfdf6746
# dictionary_sha1[FIX50]=341321604c10013757e51cb3d0cf4dd9bf17ac37
# dictionary_sha1[FIX50SP1]=03c64c1c6837bd562855afcbc4d30c2ca890c95c
# dictionary_sha1[FIX50SP2]=04a16954f51ccc2c7899d9a388f9da91b7af122c
# dictionary_sha1[FIXT11]=966193332cdccce03e27eee69c1c7609f66175df
# generator_source_hash=fd904f80a139d6309c3f286627b87eccc10039a3
# candidate_universe_hash=1aad26311c97c53a676da9e257abb24620c18de5
# golden_output_hash=45422beea72793e6e75de405be68e94f1c18d770
# golden_groups_output_hash=714923610ea55789f6085ba98a4acf29232be246 (081 T020 -- see the
#   sibling golden_groups.csv, this dict/message/group-run's per-group golden)
#
# Hash algorithm: SHA-1 (OpenSSL EVP_sha1), 40 lowercase hex chars.
# dictionary_sha1: over the raw bytes of dictionaries/<D>.xml.
# generator_source_hash: over the raw bytes of this file, main.cpp.
# candidate_universe_hash: over the concatenation, for the 9 dicts in the fixed
#   kDicts order, of the exact bytes "{dict}|{max_tag}|{msgtype1},{msgtype2},...\n"
#   (msgtypes sorted ascending, comma-separated).
# golden_output_hash: over the concatenation, for the 9 dicts in kDicts order and
#   messages in ascending msgtype order, of the exact bytes
#   "{dict}|{msg_type}|{tag1} {tag2} ...\n" (required tags ascending, space-
#   separated, empty for zero body-required tags). Computed over the OUTPUT ROWS
#   ONLY -- excludes this manifest block, so it is not self-referential.
#
dictionary,msg_type,required_tags
FIX40,0,""
FIX40,1,"112"
FIX40,2,"7 16"
FIX40,3,"45"
FIX40,4,"36"
FIX40,5,""
FIX40,6,"23 27 28 54 55"
FIX40,7,"2 4 5 53 55"
FIX40,8,"6 14 17 20 31 32 37 38 39 54 55"
FIX40,9,"11 37"
FIX40,A,"98 108"
FIX40,B,"33 58"
FIX40,C,"33 58 94"
FIX40,D,"11 21 38 40 54 55"
FIX40,E,"11 21 38 40 54 55 66 67 68"
FIX40,F,"11 38 41 54 55 125"
FIX40,G,"11 21 38 40 41 54 55"
FIX40,H,"11 54 55"
FIX40,J,"6 53 54 55 70 71 73 75 78"
FIX40,K,"66"
FIX40,L,"66"
FIX40,M,"66"
FIX40,N,"66 73 82 83"
FIX40,P,"70 75 87"
FIX40,Q,"31 32 38 54 55 127"
FIX40,R,"55 131"
FIX40,S,"55 117 132"
FIX41,0,""
FIX41,1,"112"
FIX41,2,"7 16"
FIX41,3,"45"
FIX41,4,"36"
FIX41,5,""
FIX41,6,"23 27 28 54 55"
FIX41,7,"2 4 5 53 55"
FIX41,8,"6 14 17 20 31 32 37 38 39 54 55 150 151"
FIX41,9,"11 37 39 41"
FIX41,A,"98 108"
FIX41,B,"33 148"
FIX41,C,"33 94 147 164"
FIX41,D,"11 21 40 54 55"
FIX41,E,"11 21 38 40 54 55 66 67 68"
FIX41,F,"11 41 54 55"
FIX41,G,"11 21 40 41 54 55"
FIX41,H,"11 54 55"
FIX41,J,"6 53 54 55 70 71 75"
FIX41,K,"66"
FIX41,L,"66"
FIX41,M,"66"
FIX41,N,"66 73 82 83"
FIX41,P,"70 75 87"
FIX41,Q,"54 55 127"
FIX41,R,"55 131"
FIX41,S,"55 117"
FIX41,T,"60 79 160 162 163 165"
FIX42,0,""
FIX42,1,"112"
FIX42,2,"7 16"
FIX42,3,"45"
FIX42,4,"36"
FIX42,5,""
FIX42,6,"23 27 28 54 55"
FIX42,7,"2 4 5 53 55"
FIX42,8,"6 14 17 20 37 39 54 55 150 151"
FIX42,9,"11 37 39 41 434"
FIX42,A,"98 108"
FIX42,B,"33 148"
FIX42,C,"33 94 147 164"
FIX42,D,"11 21 40 54 55 60"
FIX42,E,"66 68 73 394"
FIX42,F,"11 41 54 55 60"
FIX42,G,"11 21 40 41 54 55 60"
FIX42,H,"11 54 55"
FIX42,J,"6 53 54 55 70 71 75"
FIX42,K,"60 66"
FIX42,L,"60 66"
FIX42,M,"66"
FIX42,N,"66 68 73 82 83 429 431"
FIX42,P,"70 75 87"
FIX42,Q,"17 37 54 55 127"
FIX42,R,"131 146"
